,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
25,1/16/16,1/20/16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
26,1/16/16,1/20/16,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
27,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
28,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
29,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
30,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
31,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
32,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
33,9/17/15,9/21/15,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
34,10/19/17,10/23/17,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
35,12/8/16,12/10/16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
36,12/8/16,12/10/16,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
37,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
38,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
39,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
40,12/27/15,12/31/15,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
41,9/10/17,9/15/17,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
42,7/17/16,7/22/16,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
43,9/19/17,9/23/17,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
44,3/11/16,3/13/16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
45,3/11/16,3/13/16,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
46,10/20/14,10/25/14,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
47,6/20/16,6/25/16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
48,6/20/16,6/25/16,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
49,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
50,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346
51,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
52,4/18/15,4/22/15,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
53,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566
54,12/11/16,12/17/16,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
55,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
56,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552
57,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
58,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
59,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
60,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
61,6/17/16,6/18/16,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
62,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
63,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
64,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
65,11/24/15,11/30/15,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
66,4/30/15,5/5/15,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
67,12/5/14,12/10/14,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
68,12/5/14,12/10/14,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
69,6/4/16,6/6/16,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
70,9/18/16,9/23/16,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
71,9/14/17,9/17/17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
72,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
73,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
74,4/26/15,5/2/15,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
75,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
76,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
77,12/9/17,12/11/17,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
78,11/26/14,12/1/14,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
79,6/12/16,6/15/16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
80,6/12/16,6/15/16,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
81,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
82,10/12/14,10/16/14,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
83,9/3/15,9/8/15,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
84,11/13/17,11/16/17,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
85,5/28/17,5/30/17,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
86,10/26/17,11/2/17,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
87,10/26/17,11/2/17,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568
88,4/5/16,4/10/16,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
89,9/17/16,9/22/16,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
90,9/17/16,9/22/16,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
91,9/17/16,9/22/16,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
92,1/31/15,2/5/15,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208
93,1/31/15,2/5/15,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
94,1/31/15,2/5/15,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
95,11/6/17,11/12/17,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
96,11/9/17,11/11/17,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
97,6/17/17,6/20/17,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
98,9/6/16,9/11/16,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
99,8/29/16,9/2/16,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
100,8/29/16,9/2/16,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
101,8/29/16,9/2/16,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
102,12/1/16,12/4/16,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
103,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
104,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
105,11/13/15,11/17/15,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
106,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
107,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
108,11/23/17,11/28/17,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738
109,10/15/15,10/20/15,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
110,12/25/17,12/30/17,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
111,11/3/16,11/10/16,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
112,11/3/16,11/10/16,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
113,8/25/14,8/27/14,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
114,8/25/14,8/27/14,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
115,8/25/14,8/27/14,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925
116,8/25/14,8/27/14,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
117,3/2/15,3/6/15,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0,165.3813
118,4/5/15,4/10/15,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156
119,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0,18.3456
120,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0,13.878
121,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0,63.4368
122,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0,51.759
123,6/12/16,6/15/16,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0,19.7316
124,12/26/14,12/28/14,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
125,9/20/14,9/25/14,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
126,11/5/17,11/12/17,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
127,11/5/17,11/12/17,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
128,11/6/16,11/10/16,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602
129,11/6/16,11/10/16,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
130,2/2/17,2/5/17,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
131,2/2/17,2/5/17,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364
132,2/2/17,2/5/17,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732
133,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 195,20.04,3,0,9.6192
134,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 1880,35.44,1,0,16.6568
135,10/13/16,10/19/16,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456
